date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:24	139/139	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202020%2022:22:24%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08NPCompleteness.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08NPCompleteness.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:26	524401/524401	---M--	200	added ('OK')	application/pdf	etag:%2280071-45e52a6a4f3c0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/09PSPACE.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/09PSPACE.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:26	1189650/1189650	---M--	200	added ('OK')	application/pdf	etag:%22122712-45e52a60c5d40%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08PolynomialTimeReductions.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08PolynomialTimeReductions.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:29	649596/649596	---M--	200	added ('OK')	application/pdf	etag:%229e97c-45e53372f8400%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/10ExtendingTractability.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/10ExtendingTractability.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:29	1344853/1344853	---M--	200	added ('OK')	application/pdf	etag:%22148555-45e52a8e8c940%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/11ApproximationAlgorithms.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/11ApproximationAlgorithms.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:29	736411/736411	---M--	200	added ('OK')	application/pdf	etag:%22b3c9b-45e52a9dced40%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/12LocalSearch.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/12LocalSearch.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:31	339436/339436	---M--	200	added ('OK')	application/pdf	etag:%2252dec-45e52d19e8a00%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/01StableMatching-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/01StableMatching-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:32	548192/548192	---M--	200	added ('OK')	application/pdf	etag:%2285d60-45e5287971f80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/02AlgorithmAnalysis-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/02AlgorithmAnalysis-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:33	942522/942522	---M--	200	added ('OK')	application/pdf	etag:%22e61ba-45e52ab1d5c80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/13RandomizedAlgorithms.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/13RandomizedAlgorithms.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:34	1238874/1238874	---M--	200	added ('OK')	application/pdf	etag:%2212e75a-45e52888b4380%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/03Graphs-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/03Graphs-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:36	306786/306786	---M--	200	added ('OK')	application/pdf	etag:%224ae62-45e528d4ff780%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04Huffman.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04Huffman.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:36	825072/825072	---M--	200	added ('OK')	application/pdf	etag:%22c96f0-45e528dca0980%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04MinimumSpanningTrees-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04MinimumSpanningTrees-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:38	309314/309314	---M--	200	added ('OK')	application/pdf	etag:%224b842-45e528d2230c0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04Huffman-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04Huffman-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:39	823869/823869	---M--	200	added ('OK')	application/pdf	etag:%22c923d-45e528ebe2d80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/05DivideAndConquer-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/05DivideAndConquer-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:43	511178/511178	---M--	200	added ('OK')	application/pdf	etag:%227ccca-491e229eee0c0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/06DynamicProgramming-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/06DynamicProgramming-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:43	299567/299567	---M--	200	added ('OK')	application/pdf	etag:%224922f-45e52955be740%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/06BellmanFord-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/06BellmanFord-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:43	3358067/3358067	---M--	200	added ('OK')	application/pdf	etag:%22333d73-45e528b1b6440%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04GreedyAlgorithms-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04GreedyAlgorithms-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
